GUS,DistrictGAID,ProvinceGAID,CountryGAID,CommuneName,DistrictName,ProvinceName,GAID,OwnerGAID,Name
0631752,974,14,1,Policzna,zwoleński,Mazowieckie,100696,2517,Andrzejówka
0582516,1228,30,1,Dominowo,średzki,Wielkopolskie,141911,5093,Andrzejpole
0119787,967,14,1,Nasielsk,nowodworski,Mazowieckie,99398,2445,Andzin
0174800,1153,22,1,Sulęczyno,kartuski,Pomorskie,159592,4279,Amalka
0218816,12,24,1,Pietrowice Wielkie,raciborski,Śląskie,1490,1106,Amandów
0493801,991,16,1,Głogówek,prudnicki,Opolskie,154104,2675,Anachów
0415008,927,10,1,Parzęczew,zgierski,Łódzkie,104000,2009,Anastazew
0523471,973,14,1,Zabrodzie,wyszkowski,Mazowieckie,100631,2515,Anastazew
0300423,1226,30,1,Powidz,słupecki,Wielkopolskie,141581,5071,Anastazewo
0535190,1109,10,1,Bełchatów,bełchatowski,Łódzkie,128068,3875,Anastazów
0572707,957,14,1,Pacyna,gostyniński,Mazowieckie,106930,2340,Anatolin
0681483,965,14,1,Mińsk Mazowiecki,miński,Mazowieckie,98966,2425,Anielew
0288248,1213,30,1,Kramsk,koniński,Wielkopolskie,126071,4890,Anielew
0285698,1213,30,1,Kazimierz Biskupi,koniński,Wielkopolskie,126001,4886,Anielewo
0301240,1226,30,1,Zagórów,słupecki,Wielkopolskie,141710,5076,Anielewo
0858906,1065,4,1,Boniewo,włocławski,Kujawsko-pomorskie,122126,3431,Anielin
0569154,1110,10,1,Łanięta,kutnowski,Łódzkie,128553,3892,Anielin
0706875,1111,10,1,Łask,łaski,Łódzkie,128752,3902,Anielin
0548175,914,10,1,Poświętne,opoczyński,Łódzkie,101074,1866,Anielin
0555117,919,10,1,Wielgomłyny,radomszczański,Łódzkie,102364,1927,Anielin
0704988,924,10,1,Konopnica,wieluński,Łódzkie,103460,1976,Anielin
0415818,927,10,1,Stryków,zgierski,Łódzkie,104031,2012,Anielin
0786207,1077,6,1,Annopol,kraśnicki,Lubelskie,108929,3554,Anielin
0389883,1084,6,1,Puławy,puławski,Lubelskie,110268,3651,Anielin
0564100,957,14,1,Gostynin,gostyniński,Mazowieckie,106891,2339,Anielin
0613978,959,14,1,Belsk Duży,grójecki,Mazowieckie,97558,2351,Anielin
0628543,960,14,1,Magnuszew,kozienicki,Mazowieckie,98092,2376,Anielin
0618510,960,14,1,Garbatka-Letnisko,kozienicki,Mazowieckie,97932,2369,Anielin
0120715,1006,14,1,Nowe Miasto,płoński,Mazowieckie,114211,2844,Anielin
0636809,1011,14,1,Skaryszew,radomski,Mazowieckie,115284,2898,Anielin
1046292,1190,28,1,Barciany,kętrzyński,Warmińsko-mazurskie,140164,4655,Anielin
0211085,1210,30,1,Żelazków,kaliski,Wielkopolskie,125566,4855,Anielin
0415847,927,10,1,Stryków,zgierski,Łódzkie,104019,2012,Anielin Swędowski
0673472,965,14,1,Jakubów,miński,Mazowieckie,98876,2420,Anielinek
0774026,1115,32,1,Dobra,łobeski,Zachodniopomorskie,129504,3936,Anielino
0094716,1057,4,1,Sadki,nakielski,Kujawsko-pomorskie,121029,3363,Anieliny
0552573,916,10,1,Sulmierzyce,pajęczański,Łódzkie,150729,1887,Anielów
0688172,956,14,1,Sobolew,garwoliński,Mazowieckie,106773,2332,Anielów
0385980,1078,6,1,Michów,lubartowski,Lubelskie,109167,3572,Anielówka
0104515,1076,6,1,Kraśniczyn,krasnostawski,Lubelskie,108831,3546,Anielpol
0482571,1197,28,1,Morąg,ostródzki,Warmińsko-mazurskie,123726,4730,Anin
0210418,1211,30,1,Trzcinica,kępiński,Wielkopolskie,125665,4864,Aniołka Druga
0210200,1211,30,1,Trzcinica,kępiński,Wielkopolskie,125667,4864,Aniołka Pierwsza
0210217,1211,30,1,Trzcinica,kępiński,Wielkopolskie,125669,4864,Aniołka-Parcele
0206233,1221,30,1,Ostrzeszów,ostrzeszowski,Wielkopolskie,127352,4997,Aniołki
0154157,1186,28,1,Pasłęk,elbląski,Warmińsko-mazurskie,139518,4623,Aniołowo
0035850,1136,20,1,Narew,hajnowski,Podlaskie,131621,4132,Ancuty
0081330,1150,22,1,Chojnice,chojnicki,Pomorskie,134153,4247,Angowice
0148895,1164,22,1,Dzierzgoń,sztumski,Pomorskie,136206,4375,Ankamaty
0867294,1058,4,1,Piotrków Kujawski,radziejowski,Kujawsko-pomorskie,121168,3373,Anusin
